,Group,Unshuffle Average,Shuffle Average,Unshuffle Max,Shuffle Max,Unshuffle Min,Shuffle Min
0,CueRein,87.7%,61.7%,97.6%,75.1%,52.5%,47.5%
1,CueReinCNO,77%,64.5%,90.9%,71.2%,59.1%,59.1%
2,CueReinPersist,77.8%,70%,96.7%,84%,61.7%,61.7%
