,Group,Unshuffle Average,Shuffle Average,Unshuffle Max,Shuffle Max,Unshuffle Min,Shuffle Min
0,CueRein,86.3%,61.9%,97.7%,76%,52.5%,47.5%
1,CueReinCNO,76%,64.6%,90.9%,70.8%,59.1%,59.1%
2,CueReinPersist,76.1%,70%,96.7%,87.3%,61.7%,61.7%
